"region","year","regpop","death","drink","smoke","aged","vehipc","deathrate"
40,2008,81159,594,52.8,27,13.24,0.36,7.318966
40,2009,89384,596,55.8,29.8,13.09,0.37,6.66786
40,2010,102557,624,53,22.5,12.69,0.37,6.084421
39,2008,171001,945,58.2,28.4,9.6,0.39,5.526283
39,2009,176135,961,59.4,27.4,9.7,0.4,5.456042
39,2010,178899,966,55.6,25.6,9.9,0.41,5.399695
42,2008,67387,647,45.2,23.4,22.47,0.37,9.601258
42,2009,67049,683,43.6,26.6,23.21,0.39,10.18658
42,2010,67104,717,41.3,20.9,23.86,0.4,10.68491
43,2008,17376,158,47.8,24.7,19.26,0.38,9.093001
43,2009,18221,151,52.1,28.9,18.99,0.4,8.287141
43,2010,18739,149,50.7,28.8,19.32,0.42,7.951332
41,2008,191687,1002,59.6,25.5,9.68,0.41,5.227272
41,2009,195399,1040,52.7,29,9.86,0.43,5.322443
41,2010,201000,1007,56.4,25.3,9.92,0.43,5.00995
14,2008,107355,744,56.4,29,14.28,0.48,6.930278
14,2009,108088,743,51.3,27.7,14.66,0.49,6.874029
14,2010,109250,755,51.9,25.6,15.06,0.5,6.910755
15,2008,45495,371,48.7,28,18.05,0.54,8.154742
15,2009,45241,370,51,28,18.75,0.54,8.178422
15,2010,45177,415,50.9,26.7,19.49,0.54,9.18609
12,2008,57108,561,49.5,26.5,17.85,0.37,9.823492
12,2009,57564,538,53.4,26,18.4,0.38,9.346119
12,2010,58890,573,54.8,22.7,19.06,0.39,9.730005
13,2008,89812,758,49.9,25.1,17.92,0.39,8.439852
13,2009,91450,719,48.8,27.5,18.33,0.4,7.86222
13,2010,95833,752,51.8,24.2,18.5,0.41,7.846984
9,2008,70360,589,52.7,27.5,17.79,0.39,8.371234
9,2009,69606,580,53,26.3,18.43,0.41,8.332615
9,2010,69893,633,49.4,25.7,18.87,0.42,9.056701
11,2008,43413,415,48.8,26.6,20.8,0.39,9.559348
11,2009,44121,414,55.1,27.2,21.1,0.41,9.383286
11,2010,44254,411,47.7,22.3,21.72,0.42,9.287296
4,2008,40201,411,54.6,26.2,20.73,0.37,10.22363
4,2009,40265,407,53,28.8,21.23,0.39,10.10803
4,2010,40407,427,56.4,27.1,21.64,0.41,10.56748
8,2008,43706,348,53.5,23.8,18.21,0.46,7.962294
8,2009,43634,372,52.7,29.2,18.72,0.47,8.525462
8,2010,43622,397,59.4,27.7,19.42,0.47,9.100912
6,2008,41269,378,53.2,30.7,17.61,0.39,9.159417
6,2009,40708,357,53.8,29.5,18.31,0.41,8.769775
6,2010,41045,380,55.1,27.3,19.25,0.41,9.258131
7,2008,47724,401,59.2,28.3,15.3,0.38,8.402481
7,2009,47669,371,54.4,28.6,15.94,0.39,7.782836
7,2010,48928,344,49.9,22.9,16.28,0.39,7.030739
10,2008,24110,211,54.4,33.9,17.1,0.34,8.751555
10,2009,24216,182,55.3,29,17.5,0.35,7.515692
