시점,전국
1965.1/4,2.531
1965.2/4,2.620
1965.3/4,2.668
1965.4/4,2.625
1966.1/4,2.743
1966.2/4,2.881
1966.3/4,2.955
1966.4/4,3.039
1967.1/4,3.074
1967.2/4,3.210
1967.3/4,3.244
1967.4/4,3.357
1968.1/4,3.475
1968.2/4,3.523
1968.3/4,3.554
1968.4/4,3.720
1969.1/4,3.855
1969.2/4,3.924
1969.3/4,3.998
1969.4/4,4.263
1970.1/4,4.491
1970.2/4,4.620
1970.3/4,4.630
1970.4/4,4.859
1971.1/4,5.198
1971.2/4,5.209
1971.3/4,5.325
1971.4/4,5.380
1972.1/4,5.671
1972.2/4,5.901
1972.3/4,6.057
1972.4/4,5.949
1973.1/4,5.949
1973.2/4,6.011
1973.3/4,6.103
1973.4/4,6.275
1974.1/4,7.016
1974.2/4,7.452
1974.3/4,7.791
1974.4/4,7.995
1975.1/4,8.549
1975.2/4,9.238
1975.3/4,9.851
1975.4/4,10.255
1976.1/4,10.464
1976.2/4,10.814
1976.3/4,11.219
1976.4/4,11.206
1977.1/4,11.562
1977.2/4,11.888
1977.3/4,12.277
1977.4/4,12.387
1978.1/4,13.072
1978.2/4,13.467
1978.3/4,14.070
1978.4/4,14.461
1979.1/4,15.081
1979.2/4,16.193
1979.3/4,16.647
1979.4/4,17.241
1980.1/4,19.136
1980.2/4,20.526
1980.3/4,21.443
1980.4/4,22.756
1981.1/4,23.931
1981.2/4,25.104
1981.3/4,26.293
1981.4/4,26.440
1982.1/4,26.754
1982.2/4,27.202
1982.3/4,27.544
1982.4/4,27.585
1983.1/4,28.110
1983.2/4,28.208
1983.3/4,28.249
1983.4/4,28.249
1984.1/4,28.655
1984.2/4,28.816
1984.3/4,28.913
1984.4/4,28.997
1985.1/4,29.200
1985.2/4,29.467
1985.3/4,29.703
1985.4/4,29.851
1986.1/4,30.254
1986.2/4,30.422
1986.3/4,30.511
1986.4/4,30.284
1987.1/4,30.500
1987.2/4,31.160
1987.3/4,31.574
1987.4/4,31.939
1988.1/4,32.786
1988.2/4,33.407
1988.3/4,33.811
1988.4/4,34.116
1989.1/4,34.618
1989.2/4,35.279
1989.3/4,35.722
1989.4/4,36.146
1990.1/4,37.264
1990.2/4,38.368
1990.3/4,38.932
1990.4/4,39.355
1991.1/4,40.894
1991.2/4,41.766
1991.3/4,42.562
1991.4/4,43.062
1992.1/4,43.819
1992.2/4,44.692
1992.3/4,45.128
1992.4/4,45.102
1993.1/4,45.846
1993.2/4,46.783
1993.3/4,47.129
1993.4/4,47.564
1994.1/4,48.835
1994.2/4,49.514
1994.3/4,50.387
1994.4/4,50.323
1995.1/4,51.159
1995.2/4,51.904
1995.3/4,52.354
1995.4/4,52.562
1996.1/4,53.550
1996.2/4,54.434
1996.3/4,55.006
1996.4/4,55.231
1997.1/4,56.063
1997.2/4,56.634
1997.3/4,57.189
1997.4/4,58.021
1998.1/4,61.072
1998.2/4,61.262
1998.3/4,61.210
1998.4/4,61.487
1999.1/4,61.505
1999.2/4,61.626
1999.3/4,61.609
1999.4/4,62.284
2000.1/4,62.688
2000.2/4,62.604
2000.3/4,63.446
2000.4/4,63.866
2001.1/4,65.004
2001.2/4,65.761
2001.3/4,66.140
2001.4/4,65.972
2002.1/4,66.645
2002.2/4,67.529
2002.3/4,67.803
2002.4/4,68.160
2003.1/4,69.361
2003.2/4,69.761
2003.3/4,69.951
2003.4/4,70.561
2004.1/4,71.613
2004.2/4,72.140
2004.3/4,72.981
2004.4/4,72.939
2005.1/4,73.941
2005.2/4,74.288
2005.3/4,74.686
2005.4/4,74.735
2006.1/4,75.480
2006.2/4,75.951
2006.3/4,76.571
2006.4/4,76.323
2007.1/4,76.992
2007.2/4,77.811
2007.3/4,78.332
2007.4/4,78.902
2008.1/4,79.919
2008.2/4,81.581
2008.3/4,82.673
2008.4/4,82.449
2009.1/4,83.045
2009.2/4,83.837
2009.3/4,84.310
2009.4/4,84.434
2010.1/4,85.523
2010.2/4,86.070
2010.3/4,86.733
2010.4/4,87.165
2011.1/4,88.806
2011.2/4,89.497
2011.3/4,90.476
2011.4/4,90.620
2012.1/4,91.481
2012.2/4,91.671
2012.3/4,91.933
2012.4/4,92.175
2013.1/4,92.906
2013.2/4,92.785
2013.3/4,93.189
2013.4/4,93.160
2014.1/4,93.954
2014.2/4,94.277
2014.3/4,94.476
2014.4/4,94.075
2015.1/4,94.609
2015.2/4,94.808
2015.3/4,95.086
2015.4/4,94.941
2016.1/4,95.422
2016.2/4,95.605
2016.3/4,95.785
2016.4/4,96.319
2017.1/4,97.521
2017.2/4,97.442
2017.3/4,97.910
2017.4/4,97.707
2018.1/4,98.571
2018.2/4,98.896
2018.3/4,99.424
2018.4/4,99.453
2019.1/4,99.105
2019.2/4,99.541
2019.3/4,99.469
2019.4/4,99.747
2020.1/4,100.06
2020.2/4,99.55
2020.3/4,100.19
2020.4/4,100.20
2021.1/4,101.49
2021.2/4,102.03
2021.3/4,102.73
2021.4/4,103.75
2022.1/4,105.35
